=== Evaluation Summary (mean ± std across seeds, grouped by loss_type) ===
PAIR	PRIORS	ARCH	LOSS	N	ACC	MacroF1	AUC	TestLoss
cifar->cifar10c	(0.3,0.7)	cifar_resnet18	bce	5	0.6925 (0.010)	0.4422 (0.030)	0.5837 (0.023)	0.1109 (0.007)
cifar->cifar10c	(0.3,0.7)	cifar_resnet18	pu	5	0.4879 (0.038)	0.4841 (0.043)	0.7330 (0.012)	0.2973 (0.042)

cifar->cifar10c	(0.5,0.5)	cifar_resnet18	bce	5	0.5059 (0.004)	0.3690 (0.027)	0.5726 (0.037)	0.1030 (0.005)
cifar->cifar10c	(0.5,0.5)	cifar_resnet18	pu	5	0.6474 (0.019)	0.6441 (0.022)	0.7019 (0.021)	0.4385 (0.032)

cifar->cifar10c	(0.7,0.3)	cifar_resnet18	bce	5	0.3154 (0.014)	0.2623 (0.030)	0.5791 (0.050)	0.1043 (0.006)
cifar->cifar10c	(0.7,0.3)	cifar_resnet18	pu	5	0.5584 (0.030)	0.5525 (0.025)	0.6882 (0.026)	0.5777 (0.055)

cifar->cifarv2	(0.3,0.7)	cifar_resnet18	bce	5	0.6917 (0.012)	0.4367 (0.025)	0.5678 (0.017)	0.1154 (0.006)
cifar->cifarv2	(0.3,0.7)	cifar_resnet18	pu	5	0.5041 (0.022)	0.5029 (0.024)	0.7072 (0.026)	0.3359 (0.038)

cifar->cifarv2	(0.5,0.5)	cifar_resnet18	bce	5	0.5032 (0.002)	0.3623 (0.022)	0.5559 (0.016)	0.1073 (0.005)
cifar->cifarv2	(0.5,0.5)	cifar_resnet18	pu	5	0.6241 (0.018)	0.6235 (0.018)	0.6689 (0.022)	0.5092 (0.030)

cifar->cifarv2	(0.7,0.3)	cifar_resnet18	bce	5	0.3133 (0.010)	0.2582 (0.023)	0.5506 (0.022)	0.1093 (0.007)
cifar->cifarv2	(0.7,0.3)	cifar_resnet18	pu	5	0.4889 (0.038)	0.4863 (0.043)	0.6624 (0.014)	0.6496 (0.054)

cifar->cinic	(0.3,0.7)	cifar_resnet18	bce	5	0.6947 (0.008)	0.4425 (0.029)	0.5956 (0.027)	0.1124 (0.006)
cifar->cinic	(0.3,0.7)	cifar_resnet18	pu	5	0.5139 (0.040)	0.5121 (0.043)	0.7419 (0.018)	0.3327 (0.041)

cifar->cinic	(0.5,0.5)	cifar_resnet18	bce	5	0.5054 (0.003)	0.3660 (0.026)	0.5794 (0.038)	0.1043 (0.004)
cifar->cinic	(0.5,0.5)	cifar_resnet18	pu	5	0.6644 (0.013)	0.6638 (0.013)	0.7235 (0.017)	0.4894 (0.033)

cifar->cinic	(0.7,0.3)	cifar_resnet18	bce	5	0.3167 (0.014)	0.2629 (0.027)	0.5835 (0.048)	0.1053 (0.006)
cifar->cinic	(0.7,0.3)	cifar_resnet18	pu	5	0.5314 (0.043)	0.5289 (0.045)	0.7118 (0.019)	0.6245 (0.055)


mnist->svhn	(0.3,0.7)	lenet	bce	5	0.6224 (0.108)	0.4418 (0.034)	0.5359 (0.030)	0.0733 (0.003)
mnist->svhn	(0.3,0.7)	lenet	pu	5	0.4148 (0.081)	0.3933 (0.086)	0.5303 (0.011)	0.3023 (0.155)

mnist->svhn	(0.5,0.5)	lenet	bce	5	0.4983 (0.003)	0.3618 (0.057)	0.5326 (0.032)	0.0749 (0.004)
mnist->svhn	(0.5,0.5)	lenet	pu	5	0.5110 (0.017)	0.4478 (0.046)	0.5361 (0.017)	0.3648 (0.214)

mnist->svhn	(0.7,0.3)	lenet	bce	5	0.3574 (0.115)	0.2832 (0.105)	0.5209 (0.019)	0.0758 (0.004)
mnist->svhn	(0.7,0.3)	lenet	pu	5	0.5625 (0.103)	0.4653 (0.045)	0.5343 (0.021)	0.3913 (0.166)

mnist->usps	(0.3,0.7)	lenet	bce	5	0.6845 (0.109)	0.5291 (0.123)	0.7754 (0.054)	0.0732 (0.004)
mnist->usps	(0.3,0.7)	lenet	pu	5	0.5709 (0.156)	0.5533 (0.169)	0.8603 (0.019)	0.3311 (0.173)

mnist->usps	(0.5,0.5)	lenet	bce	5	0.5224 (0.043)	0.3794 (0.088)	0.7416 (0.072)	0.0746 (0.004)
mnist->usps	(0.5,0.5)	lenet	pu	5	0.6853 (0.091)	0.6431 (0.143)	0.8575 (0.028)	0.3167 (0.194)

mnist->usps	(0.7,0.3)	lenet	bce	5	0.3860 (0.172)	0.2986 (0.136)	0.6861 (0.090)	0.0753 (0.005)
mnist->usps	(0.7,0.3)	lenet	pu	5	0.7694 (0.052)	0.6820 (0.124)	0.8478 (0.030)	0.2940 (0.158)
